practice,area,capability,prompt
Data Engineering,Data Storage & Warehousing,"Data Partitioning, Clustering & Indexing","Do you use partitioning, clustering, or materialized views to optimize performance?"
Data Engineering,Data Storage & Warehousing,"Data Partitioning, Clustering & Indexing",How are large datasets structured to support high-performance queries?
Data Engineering,Data Storage & Warehousing,Storage Scalability & Cost Optimization,How is storage growth managed and monitored?
Data Engineering,Data Storage & Warehousing,Storage Scalability & Cost Optimization,"Are there practices in place for managing cold, hot, and archived data?"
Data Engineering,Data Storage & Warehousing,Storage Scalability & Cost Optimization,How do you optimize costs across storage tiers or warehouse compute?
Data Engineering,Data Storage & Warehousing,Data Access & Permissions,How is access to data controlled and audited?
Data Engineering,Data Storage & Warehousing,Data Access & Permissions,"Are there policies for granting fine-grained access (e.g., row/column level security)?"
Data Engineering,Data Storage & Warehousing,Data Access & Permissions,Do non-technical users have controlled access to curated data?
Data Engineering,Data Storage & Warehousing,Data Lineage & Documentation,Can users trace where data in a table came from (upstream sources and transformations)?
Data Engineering,Data Storage & Warehousing,Data Lineage & Documentation,"Are lineage tools (e.g., dbt, Amundsen, Marquez) used to track data flow?"
Data Engineering,Data Storage & Warehousing,Data Lineage & Documentation,"Is data documentation (definitions, descriptions) available and up to date?"
Data Engineering,Data Storage & Warehousing,Reliability & SLAs,Do you have SLAs for dataset freshness and availability?
Data Engineering,Data Storage & Warehousing,Reliability & SLAs,What happens when pipelines fail—how is data completeness ensured?
Data Engineering,Data Storage & Warehousing,Reliability & SLAs,Is data validation performed before making tables queryable?
Data Engineering,Data Storage & Warehousing,Environment Management & CI/CD,"Are there separate dev, staging, and prod environments for your warehouse or data lake?"
Data Engineering,Data Storage & Warehousing,Environment Management & CI/CD,How are changes to storage objects and models tested and deployed?
Data Engineering,Data Storage & Warehousing,Environment Management & CI/CD,Do you use infrastructure-as-code or CI/CD for warehouse configuration?
Data Engineering,Data Storage & Warehousing,Tooling & Observability,"What monitoring tools (e.g., Monte Carlo, DataDog, dbt tests) do you use for data quality and availability?"
Data Engineering,Data Storage & Warehousing,Tooling & Observability,Can you quickly detect and resolve anomalies in storage or warehouse behavior?
Data Engineering,Data Storage & Warehousing,Governance & Compliance,Are PII or sensitive datasets tagged and secured appropriately?
Data Engineering,Data Storage & Warehousing,Governance & Compliance,"How are compliance requirements (e.g., GDPR, HIPAA) implemented in your warehouse?"
Data Engineering,Data Storage & Warehousing,Governance & Compliance,Is data retention and purging handled automatically or manually?
Data Engineering,Data Quality & Governance,Data Quality Monitoring,How is data quality monitored across your pipelines and datasets?
Data Engineering,Data Quality & Governance,Data Quality Monitoring,"Do you use automated checks for nulls, duplicates, outliers, or referential integrity?"
Data Engineering,Data Quality & Governance,Data Quality Monitoring,"What happens when a quality check fails — is there alerting, remediation, or escalation?"
Data Engineering,Data Quality & Governance,Data Validation & Testing,"Are validations implemented during ingestion, transformation, or both?"
Data Engineering,Data Quality & Governance,Data Validation & Testing,"Do you use data unit tests, assertions, or schema enforcement tools (e.g., dbt tests, Great Expectations)?"
Data Engineering,Data Quality & Governance,Data Validation & Testing,Is test coverage consistent across all business-critical datasets?
Data Engineering,Data Quality & Governance,Ownership & Stewardship,Who is responsible for ensuring data quality for specific domains or tables?
Data Engineering,Data Quality & Governance,Ownership & Stewardship,Is there a defined data owner or steward for each major dataset?
Data Engineering,Data Quality & Governance,Ownership & Stewardship,"How are data issues reported, tracked, and resolved?"
Data Engineering,Data Quality & Governance,Data Cataloging & Discoverability,"Do you maintain a centralized data catalog (e.g., Atlan, Alation, DataHub, Amundsen)?"
Data Engineering,Data Quality & Governance,Data Cataloging & Discoverability,"Are metadata (e.g., table descriptions, column definitions, freshness) consistently documented?"
Data Engineering,Data Quality & Governance,Data Cataloging & Discoverability,Can analysts or other stakeholders discover and understand data independently?
Data Engineering,Data Quality & Governance,Data Lineage,"Can you trace where a specific column or metric originated from, including upstream sources and transformations?"
Data Engineering,Data Quality & Governance,Data Lineage,"Do you track lineage at the table level, column level, or both?"
Data Engineering,Data Quality & Governance,Data Lineage,"Is lineage exposed in a visual, accessible way to users?"
Data Engineering,Data Quality & Governance,Master & Reference Data Management,"Are there single sources of truth for key entities (e.g., customer, product)?"
Data Engineering,Data Quality & Governance,Master & Reference Data Management,How is reference data standardized and maintained across systems?
Data Engineering,Data Quality & Governance,Master & Reference Data Management,Is reference data versioned and auditable?
Data Engineering,Data Quality & Governance,Access Control & Data Classification,"How is access to sensitive data (e.g., PII, PHI) governed?"
Data Engineering,Data Quality & Governance,Access Control & Data Classification,"Are datasets classified by sensitivity level (e.g., public, internal, confidential)?"
Data Engineering,Data Quality & Governance,Access Control & Data Classification,"Are there automated policies for masking, encryption, or row-level access control?"
Data Engineering,Data Quality & Governance,Policy Enforcement & Compliance,"Are data governance policies (e.g., retention, usage, data sharing) defined and enforced?"
Data Engineering,Data Quality & Governance,Policy Enforcement & Compliance,"Do you track compliance with frameworks such as GDPR, HIPAA, or CCPA?"
Data Engineering,Data Quality & Governance,Policy Enforcement & Compliance,Are users required to accept data usage terms before accessing certain datasets?
Data Engineering,Data Quality & Governance,Change Management & Data Contracts,"Are there procedures in place for proposing, reviewing, and approving changes to key data models?"
Data Engineering,Data Quality & Governance,Change Management & Data Contracts,Do producers of data define data contracts or SLAs with consumers?
Data Engineering,Data Quality & Governance,Change Management & Data Contracts,How are breaking changes communicated and tracked?
Data Engineering,Data Quality & Governance,Incident Management & Root Cause Analysis,"How do you detect and respond to data incidents (e.g., missing records, corruption, pipeline failure)?"
Data Engineering,Data Quality & Governance,Incident Management & Root Cause Analysis,Is there an RCA process and issue history for recurring data problems?
Data Engineering,Data Quality & Governance,Incident Management & Root Cause Analysis,How long does it typically take to detect and resolve a critical data quality issue?
Data Engineering,Data Modeling & Schema Design,Modeling Approach & Standards,"What modeling paradigm(s) does your team use (e.g., star schema, snowflake schema, Data Vault, wide tables)?"
Data Engineering,Data Modeling & Schema Design,Modeling Approach & Standards,Are modeling standards documented and enforced across teams?
Data Engineering,Data Modeling & Schema Design,Modeling Approach & Standards,How often are models reviewed or refactored?
Data Engineering,Data Modeling & Schema Design,Semantic Consistency,"Do business terms (e.g., “Active User”, “Churned Customer”) have consistent definitions across teams?"
Data Engineering,Data Modeling & Schema Design,Semantic Consistency,"How is metric logic (e.g., revenue, conversion rate) standardized and maintained?"
Data Engineering,Data Modeling & Schema Design,Semantic Consistency,Are semantic definitions accessible to business stakeholders?
Data Engineering,Data Modeling & Schema Design,Collaboration & Requirements Gathering,How are business requirements gathered before designing a new model?
Data Engineering,Data Modeling & Schema Design,Collaboration & Requirements Gathering,Are data analysts and business stakeholders involved in schema reviews or validations?
Data Engineering,Data Modeling & Schema Design,Collaboration & Requirements Gathering,What happens if new business use cases conflict with existing data models?
Data Engineering,Data Modeling & Schema Design,Model Versioning & Change Management,"Are changes to models (e.g., new columns, renamed fields) version-controlled?"
Data Engineering,Data Modeling & Schema Design,Model Versioning & Change Management,How are downstream dependencies managed when schemas change?
Data Engineering,Data Modeling & Schema Design,Model Versioning & Change Management,Can you roll back a model or deployment if something breaks?
Data Engineering,Data Modeling & Schema Design,Documentation & Discoverability,"Are models and schemas documented (e.g., table/column descriptions, lineage)?"
Data Engineering,Data Modeling & Schema Design,Documentation & Discoverability,Is the documentation generated automatically or written manually?
Data Engineering,Data Modeling & Schema Design,Documentation & Discoverability,Can downstream teams easily discover what data is available and how to use it?
Data Engineering,Data Modeling & Schema Design,Data Contracts & Schema Enforcement,Are there agreements (data contracts) between producers and consumers of modeled data?
Data Engineering,Data Modeling & Schema Design,Data Contracts & Schema Enforcement,"How are schema violations handled — is there alerting, blocking, or auto-repair?"
Data Engineering,Data Modeling & Schema Design,Data Contracts & Schema Enforcement,Are schema changes tested and validated before deployment?
Data Engineering,Data Modeling & Schema Design,Normalization vs. Denormalization Tradeoffs,How do you decide when to normalize data vs. denormalize for performance or usability?
Data Engineering,Data Modeling & Schema Design,Normalization vs. Denormalization Tradeoffs,"Are these trade-offs formalized (e.g., by SLAs, query cost models)?"
Data Engineering,Data Modeling & Schema Design,Normalization vs. Denormalization Tradeoffs,Do you maintain both raw and modeled views of critical datasets?
Data Engineering,Data Modeling & Schema Design,Tooling & Frameworks,"What tools are used for data modeling (e.g., dbt, ER/Studio, Lucidchart, in-house tools)?"
Data Engineering,Data Modeling & Schema Design,Tooling & Frameworks,Is the model code modular and reusable?
Data Engineering,Data Modeling & Schema Design,Tooling & Frameworks,"How are models integrated with orchestration, testing, and documentation systems?"
Data Engineering,Data Modeling & Schema Design,Model Testing & Quality,"Are there validation checks (e.g., dbt tests, constraints) to ensure model quality?"
Data Engineering,Data Modeling & Schema Design,Model Testing & Quality,"How are nulls, duplicates, and outliers addressed in modeled tables?"
Data Engineering,Data Modeling & Schema Design,Model Testing & Quality,Are you alerted when a model fails a test or doesn’t refresh on time?
Data Engineering,Data Modeling & Schema Design,Fit for Analytics Use,Do analysts and business users find the models intuitive and performant?
Data Engineering,Data Modeling & Schema Design,Fit for Analytics Use,"Are metrics and dimensions easy to use in BI tools (Looker, Tableau, etc.)?"
Data Engineering,Data Modeling & Schema Design,Fit for Analytics Use,How often are modeled tables reused across multiple analytics projects?
Data Engineering,Metadata Management,Metadata Types & Coverage,"What types of metadata are collected (e.g., technical, business, operational, behavioral)?"
Data Engineering,Metadata Management,Metadata Types & Coverage,Which data systems currently expose or manage metadata?
Data Engineering,Metadata Management,Metadata Types & Coverage,"Are lineage, freshness, and data quality metadata tracked for your assets?"
Data Engineering,Metadata Management,Metadata Collection Process,Is metadata generated automatically or added manually?
Data Engineering,Metadata Management,Metadata Collection Process,How frequently is metadata collected or refreshed?
Data Engineering,Metadata Management,Metadata Collection Process,Are metadata updates tied to your data pipeline or modeling workflows?
Data Engineering,Metadata Management,Tooling & Integration,"What tools or platforms (e.g., Atlan, DataHub, Collibra, Alation, Amundsen) are used for managing metadata?"
Data Engineering,Metadata Management,Tooling & Integration,"Are these tools integrated with your data warehouse, transformation engine (e.g., dbt), or BI layer?"
Data Engineering,Metadata Management,Tooling & Integration,Can metadata be queried via API or accessed programmatically?
Data Engineering,Metadata Management,Search & Discovery,"Can analysts or engineers search metadata to find data assets (e.g., tables, metrics, dashboards)?"
Data Engineering,Metadata Management,Search & Discovery,Is there a centralized catalog or interface for discovering metadata?
Data Engineering,Metadata Management,Search & Discovery,How intuitive and complete is the metadata when someone looks for a dataset?
Data Engineering,Metadata Management,Documentation Quality,Are table and column-level descriptions consistently maintained?
Data Engineering,Metadata Management,Documentation Quality,Do metrics or KPIs include business context and calculation logic?
Data Engineering,Metadata Management,Documentation Quality,"Are owners, refresh cadences, and SLAs documented for critical data assets?"
Data Engineering,Metadata Management,Lineage Visibility,Can you trace lineage from source to report (or vice versa) across systems?
Data Engineering,Metadata Management,Lineage Visibility,Is lineage tracked at table level? Column level?
Data Engineering,Metadata Management,Lineage Visibility,How is lineage visualized and maintained?
Data Engineering,Metadata Management,Stewardship & Ownership,Are metadata stewards assigned to data domains or platforms?
Data Engineering,Metadata Management,Stewardship & Ownership,Who is responsible for updating and curating metadata?
Data Engineering,Metadata Management,Stewardship & Ownership,Is metadata maintenance a tracked responsibility with SLAs?
Data Engineering,Metadata Management,Governance & Policies,Are there documented policies around metadata completeness or accuracy?
Data Engineering,Metadata Management,Governance & Policies,Do you have metadata quality KPIs or audits?
Data Engineering,Metadata Management,Governance & Policies,"How do you handle stale, redundant, or conflicting metadata?"
Data Engineering,Metadata Management,Security & Access,Is access to metadata itself controlled by role or sensitivity?
Data Engineering,Metadata Management,Security & Access,Can users see metadata about data they cannot query?
Data Engineering,Metadata Management,Security & Access,"Are sensitive attributes or classifications (e.g., PII, HIPAA) visible in metadata?"
Data Engineering,Metadata Management,Metadata Use in Automation,"Is metadata used to automate data validation, lineage tracking, or alerting?"
Data Engineering,Metadata Management,Metadata Use in Automation,"Do orchestration tools dynamically adapt using metadata (e.g., dbt or Airflow DAG generation)?"
Data Engineering,Metadata Management,Metadata Use in Automation,How does metadata enable self-service or impact downstream processes?
Data Engineering,Data Security & Privacy,Access Control & Authorization,How is access to sensitive data controlled across your environments?
Data Engineering,Data Security & Privacy,Access Control & Authorization,Are access policies role-based (RBAC) or attribute-based (ABAC)?
Data Engineering,Data Security & Privacy,Access Control & Authorization,How often are access controls reviewed or audited?
Data Engineering,Data Security & Privacy,Data Classification & Sensitivity Tagging,"Do you classify data (e.g., PII, financial, health, internal, public)?"
Data Engineering,Data Security & Privacy,Data Classification & Sensitivity Tagging,Is classification automated or manually assigned?
Data Engineering,Data Security & Privacy,Data Classification & Sensitivity Tagging,How is classification used in access control or reporting?
Data Engineering,Data Security & Privacy,"Data Masking, Encryption, & Tokenization",Is sensitive data encrypted at rest and in transit?
Data Engineering,Data Security & Privacy,"Data Masking, Encryption, & Tokenization","Do you use masking, redaction, or tokenization to protect data during processing?"
Data Engineering,Data Security & Privacy,"Data Masking, Encryption, & Tokenization",Are keys and secrets managed via a secure vault or KMS?
Data Engineering,Data Security & Privacy,Audit Logging & Monitoring,Are data access logs collected and monitored for anomalies?
Data Engineering,Data Security & Privacy,Audit Logging & Monitoring,Can you trace who accessed which datasets and when?
Data Engineering,Data Security & Privacy,Audit Logging & Monitoring,Do you perform regular audits or threat detection on logs?
Data Engineering,Data Security & Privacy,Privacy by Design,Are privacy requirements considered during data pipeline or product design?
Data Engineering,Data Security & Privacy,Privacy by Design,Do you support data minimization and purpose limitation principles?
Data Engineering,Data Security & Privacy,Privacy by Design,Are developers and engineers trained in privacy-aware development?
Data Engineering,Data Security & Privacy,Data Subject Rights & Consent,"Can your platform support deletion, rectification, and data export requests?"
Data Engineering,Data Security & Privacy,Data Subject Rights & Consent,How are user consents for data collection tracked and enforced?
Data Engineering,Data Security & Privacy,Data Subject Rights & Consent,Is there a self-service interface for data subject rights?
Data Engineering,Data Security & Privacy,Vendor & Third-Party Risk,How is data shared with third parties or vendors?
Data Engineering,Data Security & Privacy,Vendor & Third-Party Risk,"Are contracts in place to ensure downstream data protection (e.g., DPAs)?"
Data Engineering,Data Security & Privacy,Vendor & Third-Party Risk,Are vendors required to meet specific security certifications?
Data Engineering,Data Security & Privacy,Secure Development & Deployment,Are code and infrastructure changes reviewed for security risks?
Data Engineering,Data Security & Privacy,Secure Development & Deployment,"Do you use secrets scanning or SAST tools (e.g., Trivy, Snyk)?"
Data Engineering,Data Security & Privacy,Secure Development & Deployment,Are container images or infrastructure-as-code components regularly patched?
Data Engineering,Data Security & Privacy,Incident Response & Breach Handling,Do you have a documented process for handling data security incidents?
Data Engineering,Data Security & Privacy,Incident Response & Breach Handling,How are users or regulators notified in the event of a breach?
Data Engineering,Data Security & Privacy,Incident Response & Breach Handling,Is there a post-mortem process with lessons learned?
Data Engineering,Data Security & Privacy,Regulatory Compliance & Readiness,"Which privacy regulations apply to your organization (e.g., GDPR, CCPA, HIPAA)?"
Data Engineering,Data Security & Privacy,Regulatory Compliance & Readiness,Do you regularly assess compliance posture?
Data Engineering,Data Security & Privacy,Regulatory Compliance & Readiness,"Who is accountable for privacy compliance (e.g., DPO, security officer)?"
Data Engineering,Performance Optimization,Pipeline & Job Performance,How do you monitor the runtime performance of your ETL/ELT jobs?
Data Engineering,Performance Optimization,Pipeline & Job Performance,Are slow or long-running pipelines regularly identified and improved?
Data Engineering,Performance Optimization,Pipeline & Job Performance,Do you benchmark and tune ingestion or transformation processes?
Data Engineering,Performance Optimization,Query Performance,Are queries regularly profiled and optimized in your data warehouse or lake?
Data Engineering,Performance Optimization,Query Performance,"What tooling or techniques are used to monitor and improve SQL performance (e.g., query plans, clustering)?"
Data Engineering,Performance Optimization,Query Performance,"How is performance optimization prioritized (e.g., cost-based, latency, business criticality)?"
Data Engineering,Performance Optimization,Data Partitioning & Indexing,Are datasets partitioned or clustered to improve query performance?
Data Engineering,Performance Optimization,Data Partitioning & Indexing,How do you decide on partitioning strategies for large fact tables or logs?
Data Engineering,Performance Optimization,Data Partitioning & Indexing,"Are indexes maintained, pruned, or rebuilt as data evolves?"
Data Engineering,Performance Optimization,Materializations & Caching,"Are materialized views, summary tables, or result caches used to reduce runtime costs?"
Data Engineering,Performance Optimization,Materializations & Caching,How do you manage cache invalidation and refresh policies?
Data Engineering,Performance Optimization,Materializations & Caching,Are downstream consumers aware of and aligned with caching strategies?
Data Engineering,Performance Optimization,Data Volumes & Growth Planning,How do you track and anticipate growth in data volumes?
Data Engineering,Performance Optimization,Data Volumes & Growth Planning,Are historical or high-granularity datasets archived or downsampled for performance?
Data Engineering,Performance Optimization,Data Volumes & Growth Planning,Do pipelines or dashboards degrade with data volume increases?
Data Engineering,Performance Optimization,Resource Utilization,How is compute resource usage monitored and managed?
Data Engineering,Performance Optimization,Resource Utilization,"Are jobs scheduled to avoid contention (e.g., in Airflow, dbt, Databricks)?"
Data Engineering,Performance Optimization,Resource Utilization,"Are costs and performance correlated with warehouse size, instance type, or concurrency?"
Data Engineering,Performance Optimization,Performance Testing & Benchmarks,Are performance benchmarks or SLAs defined for pipelines or queries?
Data Engineering,Performance Optimization,Performance Testing & Benchmarks,Do you have test environments to simulate production-scale performance?
Data Engineering,Performance Optimization,Performance Testing & Benchmarks,"How do you validate changes before deploying to production (e.g., canary tests)?"
Data Engineering,Performance Optimization,Observability & Alerting,"What tools are used for monitoring job durations, failure rates, and throughput?"
Data Engineering,Performance Optimization,Observability & Alerting,Are there alerts for performance regressions or unexpected spikes?
Data Engineering,Performance Optimization,Observability & Alerting,Is there a dashboard for data pipeline health and performance KPIs?
Data Engineering,Performance Optimization,Optimization Ownership,Who is responsible for identifying and addressing performance bottlenecks?
Data Engineering,Performance Optimization,Optimization Ownership,"Do teams proactively tune performance, or is it reactive to user complaints?"
Data Engineering,Performance Optimization,Optimization Ownership,Are optimization efforts tracked or incentivized?
Data Engineering,Performance Optimization,Feedback & Iteration,"Do end-users provide feedback on dashboard, pipeline, or query speed?"
Data Engineering,Performance Optimization,Feedback & Iteration,"Are there SLAs or expectations around performance (e.g., report load time < 5s)?"
Data Engineering,Performance Optimization,Feedback & Iteration,Is feedback looped back into engineering for ongoing tuning?
Data Engineering,Scalability & Infrastructure,Elasticity & Auto-Scaling,How does your data infrastructure scale with increases in data volume or user demand?
Data Engineering,Scalability & Infrastructure,Elasticity & Auto-Scaling,Are compute and storage layers auto-scaled or manually provisioned?
Data Engineering,Scalability & Infrastructure,Elasticity & Auto-Scaling,"How often are infrastructure limits reached, and how are they resolved?"
Data Engineering,Scalability & Infrastructure,Modular & Decoupled Architecture,"Is your pipeline architecture modular, with clearly defined stages or services?"
Data Engineering,Scalability & Infrastructure,Modular & Decoupled Architecture,"Are components loosely coupled (e.g., message queues, event-driven) to support scaling?"
Data Engineering,Scalability & Infrastructure,Modular & Decoupled Architecture,Can parts of the pipeline be scaled independently?
Data Engineering,Scalability & Infrastructure,Multi-Environment & Deployment Management,"Do you maintain separate environments for dev, staging, and production?"
Data Engineering,Scalability & Infrastructure,Multi-Environment & Deployment Management,How are environments synchronized or cloned for scale testing or validation?
Data Engineering,Scalability & Infrastructure,Multi-Environment & Deployment Management,Can infrastructure be rapidly duplicated or deployed in new regions?
Data Engineering,Scalability & Infrastructure,Infrastructure as Code (IaC),"Is your data infrastructure defined and deployed via code (e.g., Terraform, Pulumi)?"
Data Engineering,Scalability & Infrastructure,Infrastructure as Code (IaC),Can environments be rebuilt reproducibly with minimal manual steps?
Data Engineering,Scalability & Infrastructure,Infrastructure as Code (IaC),Are IaC changes version-controlled and peer-reviewed?
Data Engineering,Scalability & Infrastructure,Cloud-Native & Vendor Lock-In,"Is your platform designed to be cloud-native, multi-cloud, or hybrid?"
Data Engineering,Scalability & Infrastructure,Cloud-Native & Vendor Lock-In,"How dependent are you on vendor-specific features (e.g., BigQuery UDFs, Snowflake Tasks)?"
Data Engineering,Scalability & Infrastructure,Cloud-Native & Vendor Lock-In,Could your stack be ported or migrated without major reengineering?
Data Engineering,Scalability & Infrastructure,Data Throughput & Latency Handling,What’s the typical end-to-end latency of your data pipelines?
Data Engineering,Scalability & Infrastructure,Data Throughput & Latency Handling,Can your system handle sudden surges in data ingestion or queries?
Data Engineering,Scalability & Infrastructure,Data Throughput & Latency Handling,How do you test for high-throughput scenarios?
Data Engineering,Scalability & Infrastructure,Resource & Cost Optimization at Scale,How do you monitor cost-efficiency across scaled workloads?
Data Engineering,Scalability & Infrastructure,Resource & Cost Optimization at Scale,"Do you track cost per job, per user, or per query?"
Data Engineering,Scalability & Infrastructure,Resource & Cost Optimization at Scale,Are there practices in place to prevent cost overruns due to scaling?
Data Engineering,Scalability & Infrastructure,High Availability (HA) & Fault Tolerance,Is your infrastructure built with redundancy and failover capabilities?
Data Engineering,Scalability & Infrastructure,High Availability (HA) & Fault Tolerance,How quickly can pipelines or services recover after a crash?
Data Engineering,Scalability & Infrastructure,High Availability (HA) & Fault Tolerance,Have you defined SLOs or RTO/RPO for critical infrastructure?
Data Engineering,Scalability & Infrastructure,Global & Multi-Tenant Support,"Can your stack support multiple teams, tenants, or geographic regions simultaneously?"
Data Engineering,Scalability & Infrastructure,Global & Multi-Tenant Support,"How is resource isolation handled (e.g., per-project compute quotas, separate schemas)?"
Data Engineering,Scalability & Infrastructure,Global & Multi-Tenant Support,Are there access controls and cost attribution per tenant/team?
Data Engineering,Scalability & Infrastructure,Scalability Testing & Planning,How do you assess whether the platform can support future growth?
Data Engineering,Scalability & Infrastructure,Scalability Testing & Planning,"Are there tools or simulations used to test load, concurrency, or regional expansion?"
Data Engineering,Scalability & Infrastructure,Scalability Testing & Planning,How frequently is scalability re-evaluated in architecture reviews?
Data Engineering,Automation & Workflow Orchestration,Workflow Orchestration Framework,"What tools or frameworks (e.g., Airflow, Prefect, Dagster, dbt Cloud, Luigi) are used to orchestrate data pipelines?"
Data Engineering,Automation & Workflow Orchestration,Workflow Orchestration Framework,How are dependencies between jobs defined and managed?
Data Engineering,Automation & Workflow Orchestration,Workflow Orchestration Framework,Are workflows versioned and reusable across projects?
Data Engineering,Automation & Workflow Orchestration,Triggering & Scheduling,"How are data workflows triggered — on schedule, by events, or manually?"
Data Engineering,Automation & Workflow Orchestration,Triggering & Scheduling,"Do you support dynamic triggering (e.g., based on file arrival, API calls, upstream pipeline completion)?"
Data Engineering,Automation & Workflow Orchestration,Triggering & Scheduling,"How are schedules defined, monitored, and adjusted?"
Data Engineering,Automation & Workflow Orchestration,Monitoring & Alerting,How do you monitor the success or failure of orchestrated jobs?
Data Engineering,Automation & Workflow Orchestration,Monitoring & Alerting,"Are alerts configured for delays, failures, or SLA breaches?"
Data Engineering,Automation & Workflow Orchestration,Monitoring & Alerting,Who receives alerts and how are they escalated?
Data Engineering,Automation & Workflow Orchestration,Failure Handling & Retries,What happens when a workflow step fails?
Data Engineering,Automation & Workflow Orchestration,Failure Handling & Retries,"Are retry policies in place for transient issues (e.g., network glitches)?"
Data Engineering,Automation & Workflow Orchestration,Failure Handling & Retries,"Can failed workflows resume from point-of-failure, or do they restart entirely?"
Data Engineering,Automation & Workflow Orchestration,Parameterization & Reusability,"Can jobs or workflows be reused across environments, teams, or clients via parameterization?"
Data Engineering,Automation & Workflow Orchestration,Parameterization & Reusability,Are config-driven or templated workflows common in your orchestration logic?
Data Engineering,Automation & Workflow Orchestration,Parameterization & Reusability,"Do you use macros, dynamic DAGs, or modular task definitions?"
Data Engineering,Automation & Workflow Orchestration,Workflow Documentation & Discoverability,How are workflows documented and shared across teams?
Data Engineering,Automation & Workflow Orchestration,Workflow Documentation & Discoverability,Can others understand what a pipeline does without reading source code?
Data Engineering,Automation & Workflow Orchestration,Workflow Documentation & Discoverability,Are data lineage and workflow diagrams available and kept up to date?
Data Engineering,Automation & Workflow Orchestration,Secrets & Credential Management,"How are secrets (API keys, DB credentials) managed in workflow orchestration tools?"
Data Engineering,Automation & Workflow Orchestration,Secrets & Credential Management,"Do you use vaults, cloud secret managers, or environment injection?"
Data Engineering,Automation & Workflow Orchestration,Secrets & Credential Management,Are credentials rotated and audit-logged?
Data Engineering,Automation & Workflow Orchestration,Idempotency & State Management,"Are your jobs designed to be idempotent (i.e., safe to re-run)?"
Data Engineering,Automation & Workflow Orchestration,Idempotency & State Management,How is job state tracked between runs?
