practice,area,capability,state,score,level_name
Data Engineering,Data Modeling & Schema Design,Collaboration & Requirements,Models built based on assumptions with little business input.,1,Initial / Ad Hoc
Data Engineering,Data Modeling & Schema Design,Model Versioning & Change Mgmt,Models updated ad hoc. Breaking changes common.,1,Initial / Ad Hoc
Data Engineering,Data Modeling & Schema Design,Documentation & Discoverability,No documentation; data use relies on tribal knowledge.,1,Initial / Ad Hoc
Data Engineering,Data Modeling & Schema Design,Schema Enforcement & Contracts,No schema validation or controls in place.,1,Initial / Ad Hoc
Data Engineering,Data Modeling & Schema Design,Normalization & Denormalization,No rationale; data often overly flattened or fragmented.,1,Initial / Ad Hoc
Data Engineering,Data Modeling & Schema Design,Tooling & Frameworks,SQL scripts or Excel files used for modeling.,1,Initial / Ad Hoc
Data Engineering,Data Modeling & Schema Design,Testing & Data Quality,Models not tested; downstream issues common.,1,Initial / Ad Hoc
Data Engineering,Data Modeling & Schema Design,Usability for Analytics,Modeled data is hard to query; joins and logic are complex.,1,Initial / Ad Hoc
Data Engineering,Metadata Management,Types & Scope of Metadata,"Minimal or no metadata collected. Only system-generated fields (e.g., table names, timestamps).",1,Initial / Ad Hoc
Data Engineering,Metadata Management,Metadata Collection Process,Manual and inconsistent. No processes for ensuring metadata is up-to-date.,1,Initial / Ad Hoc
Data Engineering,Metadata Management,Tooling & Platform Integration,No metadata platform or catalog in use.,1,Initial / Ad Hoc
Data Engineering,Metadata Management,Search & Discovery,Users rely on tribal knowledge or personal bookmarks to find data.,1,Initial / Ad Hoc
Data Engineering,Metadata Management,Documentation & Descriptions,No documentation or stale/incomplete notes on datasets.,1,Initial / Ad Hoc
Data Engineering,Metadata Management,Data Lineage,Lineage unknown or inferred manually through tribal knowledge.,1,Initial / Ad Hoc
Data Engineering,Metadata Management,Stewardship & Ownership,No defined data owners.,1,Initial / Ad Hoc
Data Engineering,Metadata Management,"Policy, Classification & Governance",No metadata governance or classification of assets.,1,Initial / Ad Hoc
Data Engineering,Metadata Management,Automation & Self-Service,No automation; metadata not used for any active processes.,1,Initial / Ad Hoc
Data Engineering,Metadata Management,Cultural Adoption,Metadata seen as overhead. No organizational buy-in.,1,Initial / Ad Hoc
Data Engineering,Data Security & Privacy,Access Control & Authorization,Ad hoc access controls; no formal process.,1,Initial / Ad Hoc
Data Engineering,Data Security & Privacy,Data Classification,No data classification; sensitivity not tracked.,1,Initial / Ad Hoc
Data Engineering,Data Security & Privacy,Encryption & Masking,No encryption guarantees.,1,Initial / Ad Hoc
Data Engineering,Data Security & Privacy,Audit Logging & Monitoring,No logs or logs inaccessible for auditing.,1,Initial / Ad Hoc
Data Engineering,Data Security & Privacy,Privacy by Design,Privacy is not considered during data pipeline or product design.,1,Initial / Ad Hoc
Data Engineering,Data Security & Privacy,Subject Rights & Consent,No process for data subject rights or consent tracking.,1,Initial / Ad Hoc
Data Engineering,Data Security & Privacy,Vendor & Third-Party Risk,Vendors used without review or contractual protections.,1,Initial / Ad Hoc
Data Engineering,Data Security & Privacy,Secure Development & Deployment,No security scanning or review of code and infrastructure.,1,Initial / Ad Hoc
Data Engineering,Data Security & Privacy,Incident Response Readiness,No formal process for incident response or data breach.,1,Initial / Ad Hoc
Data Engineering,Data Security & Privacy,Compliance & Regulatory Readiness,Unaware or non-compliant with relevant regulations.,1,Initial / Ad Hoc
Data Engineering,Data Security & Privacy,Security & Privacy Culture,Security viewed as blocker; minimal awareness or training.,1,Initial / Ad Hoc
Data Engineering,Performance Optimization,Pipeline & Job Performance,No tracking of job durations or resource usage.,1,Initial / Ad Hoc
Data Engineering,Performance Optimization,Query Performance Tuning,Queries are written ad hoc without optimization.,1,Initial / Ad Hoc
Data Engineering,Performance Optimization,Partitioning & Indexing,Data is not partitioned; tables scanned in full.,1,Initial / Ad Hoc
Data Engineering,Performance Optimization,Materializations & Caching,No materializations; all queries run from raw data.,1,Initial / Ad Hoc
Data Engineering,Performance Optimization,Data Volume Management,No awareness of data growth; long-term data stored without downsampling.,1,Initial / Ad Hoc
Data Engineering,Performance Optimization,Compute Resource Management,"No visibility into CPU, memory, or warehouse usage.",1,Initial / Ad Hoc
Data Engineering,Performance Optimization,Performance Testing,No performance testing environment or regression checks.,1,Initial / Ad Hoc
Data Engineering,Performance Optimization,Observability & Alerting,No dashboards or alerts for performance.,1,Initial / Ad Hoc
Data Engineering,Performance Optimization,Optimization Ownership,No one is accountable for performance.,1,Initial / Ad Hoc
Data Engineering,Performance Optimization,Feedback & End-User Experience,End-users regularly complain about slow performance.,1,Initial / Ad Hoc
Data Engineering,Scalability & Infrastructure,Elasticity & Auto-Scaling,Infrastructure is fixed; manual scaling required.,1,Initial / Ad Hoc
Data Engineering,Scalability & Infrastructure,Modular Architecture,Monolithic pipelines; tightly coupled components.,1,Initial / Ad Hoc
Data Engineering,Scalability & Infrastructure,Multi-Environment Management,Only one environment exists; changes made directly in production.,1,Initial / Ad Hoc
Data Engineering,Scalability & Infrastructure,Infrastructure as Code (IaC),Infrastructure is manually created; not repeatable.,1,Initial / Ad Hoc
Data Engineering,Scalability & Infrastructure,Vendor Lock-In & Portability,System is tightly coupled to specific vendor features.,1,Initial / Ad Hoc
Data Engineering,Scalability & Infrastructure,Throughput & Latency Handling,Systems fail or slow significantly with load spikes.,1,Initial / Ad Hoc
Data Engineering,Scalability & Infrastructure,Cost Optimization at Scale,No awareness or tracking of infrastructure cost by workload.,1,Initial / Ad Hoc
Data Engineering,Scalability & Infrastructure,High Availability & Redundancy,Systems have single points of failure.,1,Initial / Ad Hoc
Data Engineering,Scalability & Infrastructure,Multi-Tenancy / Multi-Team Scale,Architecture not designed for multi-team use.,1,Initial / Ad Hoc
Data Engineering,Scalability & Infrastructure,Scalability Testing & Planning,Scalability is reactive; no forecasting or testing.,1,Initial / Ad Hoc
Data Engineering,Automation & Workflow Orchestration,Workflow Orchestration Tooling,No orchestration system; pipelines triggered manually or with scripts.,1,Initial / Ad Hoc
Data Engineering,Automation & Workflow Orchestration,Triggering & Scheduling,"Jobs run on fixed, manual schedules.",1,Initial / Ad Hoc
Data Engineering,Automation & Workflow Orchestration,Monitoring & Alerting,No job monitoring or basic email alerts after failure.,1,Initial / Ad Hoc
Data Engineering,Automation & Workflow Orchestration,Failure Handling & Retries,Failed jobs require manual investigation and restart.,1,Initial / Ad Hoc
Data Engineering,Automation & Workflow Orchestration,Parameterization & Reuse,Pipelines are hard-coded and environment-specific.,1,Initial / Ad Hoc
Data Engineering,Automation & Workflow Orchestration,Documentation & Discoverability,No workflow documentation; understanding requires code reading.,1,Initial / Ad Hoc
Data Engineering,Automation & Workflow Orchestration,Secrets & Credential Management,Secrets are stored in code or hard-coded files.,1,Initial / Ad Hoc
Data Engineering,Automation & Workflow Orchestration,Idempotency & State Management,Jobs are not idempotent and reruns cause data duplication or corruption.,1,Initial / Ad Hoc
Data Engineering,Automation & Workflow Orchestration,Multi-Tenant Workflow Support,All workflows are bundled together and unorganized; hard to share across teams.,1,Initial / Ad Hoc
Data Engineering,Automation & Workflow Orchestration,CI/CD & Workflow Testing,No tests or validation before deploying workflows.,1,Initial / Ad Hoc
Data Engineering,Observability & Monitoring,Pipeline Health Monitoring,Pipeline status is not actively monitored or only checked manually.,1,Initial / Ad Hoc
Data Engineering,Observability & Monitoring,Data Quality Monitoring,No automated checks; quality issues found manually or by end users.,1,Initial / Ad Hoc
Data Engineering,Observability & Monitoring,Infrastructure Resource Monitoring,Infrastructure usage is not tracked or monitored reactively.,1,Initial / Ad Hoc
Data Engineering,Observability & Monitoring,Logging Practices,"Logs are unstructured, inconsistent, and hard to trace.",1,Initial / Ad Hoc
Data Engineering,Observability & Monitoring,Alerting & Escalation,No alerting or informal Slack/email-based failure messages.,1,Initial / Ad Hoc
Data Engineering,Observability & Monitoring,Lineage & Traceability,No data lineage captured; ownership unclear during failures.,1,Initial / Ad Hoc
Data Engineering,Observability & Monitoring,Dashboards & Observability Tools,No centralized view of pipeline health or system metrics.,1,Initial / Ad Hoc
Data Engineering,Observability & Monitoring,SLAs/SLOs for Data Pipelines,No SLAs or expectations defined for pipeline timeliness or availability.,1,Initial / Ad Hoc
Data Engineering,Observability & Monitoring,Incident Management,Incidents are undocumented and resolved ad hoc.,1,Initial / Ad Hoc
Data Engineering,Observability & Monitoring,Proactive Monitoring / Anomaly Detection,Monitoring is reactive; only visible after business impact.,1,Initial / Ad Hoc
Data Engineering,Disaster Recovery & Backup,Backup Coverage,No backups or ad hoc manual exports; most data is at risk.,1,Initial / Ad Hoc
Data Engineering,Disaster Recovery & Backup,Frequency & Retention,"Backups performed sporadically or manually, if at all.",1,Initial / Ad Hoc
Data Engineering,Disaster Recovery & Backup,Monitoring & Validation,Backup success not tracked; silent failures possible.,1,Initial / Ad Hoc
Data Engineering,Disaster Recovery & Backup,Disaster Recovery Planning,No formal DR plan or understanding of RTO/RPO.,1,Initial / Ad Hoc
Data Engineering,Disaster Recovery & Backup,Recovery Testing / Drills,No testing; recovery success is unknown.,1,Initial / Ad Hoc
Data Engineering,Disaster Recovery & Backup,Infrastructure Resilience,"Systems are single-zone, non-redundant, or brittle.",1,Initial / Ad Hoc
Data Engineering,Disaster Recovery & Backup,Data Versioning & Time Travel,No version control of data; overwrites are irreversible.,1,Initial / Ad Hoc
Data Engineering,Disaster Recovery & Backup,Access Controls for Backups,No access controls; backups potentially exposed.,1,Initial / Ad Hoc
Data Engineering,Disaster Recovery & Backup,Recovery Time (RTO),Unpredictable recovery time; may take days.,1,Initial / Ad Hoc
Data Engineering,Disaster Recovery & Backup,Recovery Point (RPO),RPO undefined; backup intervals too long to be useful.,1,Initial / Ad Hoc
Data Engineering,Disaster Recovery & Backup,Third-Party Dependency Coverage,"No awareness of DR policies for managed services (e.g., SaaS, cloud DBs).",1,Initial / Ad Hoc
Data Engineering,Disaster Recovery & Backup,Post-Recovery Validation,No validation; consumers learn of issues post-restore.,1,Initial / Ad Hoc
Data Engineering,Self-Service & Democratization,Data Discoverability,No catalog or documentation; users rely on tribal knowledge.,1,Initial / Ad Hoc
Data Engineering,Self-Service & Democratization,Access & Permissions,"Ad hoc, manual permissions; delays in provisioning.",1,Initial / Ad Hoc
Data Engineering,Self-Service & Democratization,BI & Self-Service Tooling,Business users must ask data engineers for queries and reports.,1,Initial / Ad Hoc
Data Engineering,Self-Service & Democratization,Data Literacy & Enablement,No formal training; low understanding of data assets or terms.,1,Initial / Ad Hoc
Data Engineering,Self-Service & Democratization,Metric Standardization,KPIs defined inconsistently across departments.,1,Initial / Ad Hoc
Data Engineering,Self-Service & Democratization,Request Workflows,Most requests require custom engineering support.,1,Initial / Ad Hoc
Data Engineering,Self-Service & Democratization,Data Access Governance,No governance policies; sensitive data may be exposed accidentally.,1,Initial / Ad Hoc
Data Engineering,Self-Service & Democratization,Integration with Operational Tools,No integration; users must extract data manually.,1,Initial / Ad Hoc
Data Engineering,Self-Service & Democratization,Monitoring Usage & Feedback,No tracking of dashboard or dataset usage.,1,Initial / Ad Hoc
Data Engineering,Integration & APIs,System Integration,"Integrations are mostly manual (e.g., spreadsheets, file uploads); fragile or ad hoc scripts connect systems.",1,Initial / Ad Hoc
Data Engineering,Integration & APIs,API Design & Exposure,No APIs exposed for data access or sharing; consumers must query DBs directly or request manual exports.,1,Initial / Ad Hoc
Data Engineering,Integration & APIs,Inbound API Usage,Data from 3rd parties manually retrieved or copied into DBs.,1,Initial / Ad Hoc
Data Engineering,Integration & APIs,Outbound Data Activation,"No outbound data delivery to tools like CRMs, ERPs, or marketing platforms.",1,Initial / Ad Hoc
Data Engineering,Integration & APIs,Monitoring & Reliability,No visibility into integration uptime or failures; issues discovered only after stakeholder complaints.,1,Initial / Ad Hoc
Data Engineering,Integration & APIs,Security & Access Control,API keys and credentials hardcoded or shared manually; no role separation.,1,Initial / Ad Hoc
Data Engineering,Integration & APIs,Documentation & Governance,No documentation; integrations and APIs maintained by few individuals with tribal knowledge.,1,Initial / Ad Hoc
Data Engineering,Cost Management,Cost Visibility & Reporting,No cost visibility; teams unaware of spend; billing is opaque.,1,Initial / Ad Hoc
Data Engineering,Cost Management,Cost Attribution,"No ability to attribute costs to projects, users, or teams.",1,Initial / Ad Hoc
Data Engineering,Cost Management,Budget Governance & Controls,No spend limits; teams provision resources freely without oversight.,1,Initial / Ad Hoc
Data Engineering,Cost Management,Monitoring & Alerts,No alerting or tracking of anomalies or spikes.,1,Initial / Ad Hoc
Data Engineering,Cost Management,Optimization Practices,No cost optimization; pipelines and queries run indefinitely.,1,Initial / Ad Hoc
Data Engineering,Cost Management,Forecasting & Planning,Costs are not forecasted; planning based on past surprises.,1,Initial / Ad Hoc
Data Engineering,Cost Management,Cultural Awareness,Teams unaware of how code or infrastructure impacts cost.,1,Initial / Ad Hoc
Data Engineering,Cost Management,Tools & Automation,No tools in place; billing is manually reviewed monthly.,1,Initial / Ad Hoc
Data Engineering,Data Ingestion,Ingestion Framework & Architecture,"Some tools are in place, but architecture varies by use case or team.",2,Developing
Data Engineering,Data Ingestion,Data Source Coverage,Most internal systems ingested; third-party/SaaS sources are handled manually.,2,Developing
Data Engineering,Data Ingestion,Change Data Capture (CDC),"Partial CDC implemented for high-volume tables, often custom and fragile.",2,Developing
Data Engineering,Data Ingestion,Monitoring & Alerting,Basic job-level alerting via cron or scripts.,2,Developing
Data Engineering,Data Ingestion,Validation & Quality Checks,"Occasional checks (row counts, duplicates) done manually.",2,Developing
Data Engineering,Data Ingestion,Metadata & Lineage,"Partial lineage exists, usually in notebooks or tribal knowledge.",2,Developing
Data Engineering,Data Ingestion,Security & Compliance,"Basic security (e.g., secrets manager) in place; PII flagged manually.",2,Developing
Data Engineering,Data Ingestion,Operational Maturity,Teams reuse some scripts; onboarding new sources takes weeks.,2,Developing
Data Engineering,Data Storage & Warehousing,Architecture & Design,Basic architecture exists but not standardized.,2,Developing
Data Engineering,Data Storage & Warehousing,Schema Management & Modeling,"Partial modeling approach used inconsistently (e.g., star schema).",2,Developing
Data Engineering,Data Storage & Warehousing,Partitioning & Performance Design,Basic partitioning and manual tuning on large tables.,2,Developing
Data Engineering,Data Storage & Warehousing,Storage Scalability & Cost,Manual management of growing storage costs and cold data.,2,Developing
Data Engineering,Data Storage & Warehousing,Access Control & Permissions,Role-based access partially implemented.,2,Developing
Data Engineering,Data Storage & Warehousing,Data Lineage & Documentation,Partial lineage tracked manually or informally.,2,Developing
Data Engineering,Data Storage & Warehousing,Reliability & SLAs,SLAs informally defined; monitored manually.,2,Developing
Data Engineering,Data Storage & Warehousing,Environment Management,Dev environments exist but are inconsistently used.,2,Developing
Data Engineering,Data Storage & Warehousing,Tooling & Observability,Manual monitoring through dashboards; alerts not consistent.,2,Developing
Data Engineering,Data Storage & Warehousing,Governance & Compliance,PII tagging done manually; compliance policies partially implemented.,2,Developing
Data Engineering,Data Quality & Governance,Data Quality Monitoring,Manual or ad hoc checks exist on critical datasets.,2,Developing
Data Engineering,Data Quality & Governance,Data Validation & Testing,Some unit tests or checks defined manually in SQL or code.,2,Developing
Data Engineering,Data Quality & Governance,Ownership & Stewardship,Informal or team-based ownership. Issues resolved case-by-case.,2,Developing
Data Engineering,Data Quality & Governance,Cataloging & Discoverability,Spreadsheet-based or tool-specific documentation.,2,Developing
Data Engineering,Data Quality & Governance,Data Lineage,Partial lineage tracking via documentation or tool-specific graphs.,2,Developing
Data Engineering,Data Quality & Governance,Master & Reference Data Management,"Some central reference tables exist, but usage is fragmented.",2,Developing
Data Engineering,Data Quality & Governance,Access Control & Classification,Basic RBAC or group-based access. PII flagged manually.,2,Developing
Data Engineering,Data Quality & Governance,Policy Enforcement & Compliance,"Basic privacy policies defined, but not enforced via tooling.",2,Developing
Data Engineering,Data Quality & Governance,Change Management & Contracts,Informal approval of changes; limited rollback procedures.,2,Developing
Data Engineering,Data Quality & Governance,Incident Management & RCA,"Issues logged manually, triaged informally.",2,Developing
Data Engineering,Data Modeling & Schema Design,Modeling Approach & Standards,Informal standards or templates reused inconsistently.,2,Developing
Data Engineering,Data Modeling & Schema Design,Semantic Consistency,"Some terms are defined, but inconsistently applied.",2,Developing
Data Engineering,Data Modeling & Schema Design,Collaboration & Requirements,Some collaboration with analysts; not standardized.,2,Developing
Data Engineering,Data Modeling & Schema Design,Model Versioning & Change Mgmt,Manual versioning and documentation of changes.,2,Developing
Data Engineering,Data Modeling & Schema Design,Documentation & Discoverability,Some tables or fields manually documented in spreadsheets.,2,Developing
Data Engineering,Data Modeling & Schema Design,Schema Enforcement & Contracts,Schema expectations loosely defined; issues caught post-facto.,2,Developing
Data Engineering,Data Modeling & Schema Design,Normalization & Denormalization,Ad hoc tradeoffs made based on performance or convenience.,2,Developing
Data Engineering,Data Modeling & Schema Design,Tooling & Frameworks,Frameworks like dbt or hand-written DAGs used inconsistently.,2,Developing
Data Engineering,Data Modeling & Schema Design,Testing & Data Quality,Manual validation or basic QA applied to key tables.,2,Developing
Data Engineering,Data Modeling & Schema Design,Usability for Analytics,Tables used inconsistently; naming unclear or undocumented.,2,Developing
Data Engineering,Metadata Management,Types & Scope of Metadata,"Technical metadata partially collected (e.g., schemas, table sizes). Business metadata is sparse or informal.",2,Developing
Data Engineering,Metadata Management,Metadata Collection Process,"Ad hoc or scheduled updates to metadata, often tied to manual processes.",2,Developing
Data Engineering,Metadata Management,Tooling & Platform Integration,Spreadsheet-based documentation or fragmented tooling.,2,Developing
Data Engineering,Metadata Management,Search & Discovery,Limited or fragmented searchability; discovery possible within isolated tools.,2,Developing
Data Engineering,Metadata Management,Documentation & Descriptions,Some fields or tables documented manually; not enforced or standardized.,2,Developing
Data Engineering,Metadata Management,Data Lineage,"Partial lineage captured (e.g., table-level in transformation tools).",2,Developing
Data Engineering,Metadata Management,Stewardship & Ownership,Informal ownership or team-based assumptions.,2,Developing
Data Engineering,Metadata Management,"Policy, Classification & Governance","Some datasets labeled manually (e.g., “PII”), but not enforced.",2,Developing
Data Engineering,Metadata Management,Automation & Self-Service,"Limited automation (e.g., doc generation via dbt, Airflow metadata parsing).",2,Developing
Data Engineering,Metadata Management,Cultural Adoption,Growing awareness but inconsistent engagement.,2,Developing
Data Engineering,Data Security & Privacy,Access Control & Authorization,Basic RBAC in place for critical systems.,2,Developing
Data Engineering,Data Security & Privacy,Data Classification,"Some datasets manually tagged (e.g., PII).",2,Developing
Data Engineering,Data Security & Privacy,Encryption & Masking,Encryption in transit (TLS); partial encryption at rest.,2,Developing
Data Engineering,Data Security & Privacy,Audit Logging & Monitoring,Logs exist for some systems; manually checked.,2,Developing
Data Engineering,Data Security & Privacy,Privacy by Design,Developers are aware of privacy basics; not formally enforced.,2,Developing
Data Engineering,Data Security & Privacy,Subject Rights & Consent,Ad hoc manual responses to access or deletion requests.,2,Developing
Data Engineering,Data Security & Privacy,Vendor & Third-Party Risk,"Some contracts reference data protection, but not consistently reviewed.",2,Developing
Data Engineering,Data Security & Privacy,Secure Development & Deployment,"Static security scanning (e.g., secrets detection) used occasionally.",2,Developing
Data Engineering,Data Security & Privacy,Incident Response Readiness,Basic manual procedures documented.,2,Developing
Data Engineering,Data Security & Privacy,Compliance & Regulatory Readiness,"Aware of regulations (e.g., GDPR, CCPA); compliance efforts in progress.",2,Developing
Data Engineering,Data Security & Privacy,Security & Privacy Culture,Developers and engineers aware of basic data handling practices.,2,Developing
Data Engineering,Performance Optimization,Pipeline & Job Performance,Manual monitoring of runtime; optimization only after failures.,2,Developing
Data Engineering,Performance Optimization,Query Performance Tuning,Performance is improved manually when issues arise.,2,Developing
Data Engineering,Performance Optimization,Partitioning & Indexing,"Basic partitioning on ingestion (e.g., by date); no formal policy.",2,Developing
Data Engineering,Performance Optimization,Materializations & Caching,Some dashboards or reports use materialized tables or views.,2,Developing
Data Engineering,Performance Optimization,Data Volume Management,Growth tracked informally; purging or archiving done manually.,2,Developing
Data Engineering,Performance Optimization,Compute Resource Management,Jobs sometimes fail due to contention or quota overrun.,2,Developing
Data Engineering,Performance Optimization,Performance Testing,Performance manually tested before major releases.,2,Developing
Data Engineering,Performance Optimization,Observability & Alerting,Ad hoc alerts for job failures only.,2,Developing
Data Engineering,Performance Optimization,Optimization Ownership,Engineers respond reactively; some tuning is expected.,2,Developing
Data Engineering,Performance Optimization,Feedback & End-User Experience,Some feedback is collected but not acted on.,2,Developing
Data Engineering,Scalability & Infrastructure,Elasticity & Auto-Scaling,Some workloads manually scaled based on known patterns.,2,Developing
Data Engineering,Scalability & Infrastructure,Modular Architecture,Partial modularization of pipeline stages.,2,Developing
Data Engineering,Scalability & Infrastructure,Multi-Environment Management,Separate environments for dev and prod; not always consistent.,2,Developing
Data Engineering,Scalability & Infrastructure,Infrastructure as Code (IaC),"Some infra (e.g., compute, storage) defined with IaC tools (e.g., Terraform).",2,Developing
Data Engineering,Scalability & Infrastructure,Vendor Lock-In & Portability,Vendor features used selectively; fallback options undocumented.,2,Developing
Data Engineering,Scalability & Infrastructure,Throughput & Latency Handling,Minor spikes handled manually or via reactive alerts.,2,Developing
Data Engineering,Scalability & Infrastructure,Cost Optimization at Scale,Monthly cloud bills reviewed manually.,2,Developing
Data Engineering,Scalability & Infrastructure,High Availability & Redundancy,Backups exist; failover plans are manual or untested.,2,Developing
Data Engineering,Scalability & Infrastructure,Multi-Tenancy / Multi-Team Scale,"Some shared infrastructure exists, but conflicts and bottlenecks occur.",2,Developing
Data Engineering,Scalability & Infrastructure,Scalability Testing & Planning,Manual assessments done during capacity issues.,2,Developing
Data Engineering,Automation & Workflow Orchestration,Workflow Orchestration Tooling,"Basic orchestration using cron or simple DAGs (e.g., Airflow, Prefect) for key pipelines.",2,Developing
Data Engineering,Automation & Workflow Orchestration,Triggering & Scheduling,Some jobs triggered based on upstream outputs or file arrivals.,2,Developing
Data Engineering,Automation & Workflow Orchestration,Monitoring & Alerting,Dashboards or Slack alerts on job failure exist; no formal escalation path.,2,Developing
Data Engineering,Automation & Workflow Orchestration,Failure Handling & Retries,Retries are hard-coded or inconsistently applied across jobs.,2,Developing
Data Engineering,Automation & Workflow Orchestration,Parameterization & Reuse,Some jobs allow variable inputs via configs or environment files.,2,Developing
Data Engineering,Automation & Workflow Orchestration,Documentation & Discoverability,Limited documentation in wikis or code comments.,2,Developing
Data Engineering,Automation & Workflow Orchestration,Secrets & Credential Management,Environment variables or basic secret stores used.,2,Developing
Data Engineering,Automation & Workflow Orchestration,Idempotency & State Management,Partial idempotency through checkpointing or manual metadata.,2,Developing
Data Engineering,Automation & Workflow Orchestration,Multi-Tenant Workflow Support,"Some separation by project or team, but no formal boundaries or access control.",2,Developing
Data Engineering,Automation & Workflow Orchestration,CI/CD & Workflow Testing,Workflow changes peer-reviewed but not always tested.,2,Developing
Data Engineering,Observability & Monitoring,Pipeline Health Monitoring,Some pipelines have basic success/failure logging.,2,Developing
Data Engineering,Observability & Monitoring,Data Quality Monitoring,Manual checks or reactive testing in place.,2,Developing
Data Engineering,Observability & Monitoring,Infrastructure Resource Monitoring,Basic dashboards for CPU/memory; manual interventions.,2,Developing
Data Engineering,Observability & Monitoring,Logging Practices,"Logging added for some jobs or services, but lacking context.",2,Developing
Data Engineering,Observability & Monitoring,Alerting & Escalation,Alerts set up for some jobs; alerts may be missed.,2,Developing
Data Engineering,Observability & Monitoring,Lineage & Traceability,Manual documentation or lineage in isolated systems.,2,Developing
Data Engineering,Observability & Monitoring,Dashboards & Observability Tools,Individual dashboards exist per team or system.,2,Developing
Data Engineering,Observability & Monitoring,SLAs/SLOs for Data Pipelines,Informal SLAs exist; breaches tracked manually or not at all.,2,Developing
Data Engineering,Observability & Monitoring,Incident Management,"Issues tracked in informal tools (e.g., JIRA, spreadsheets).",2,Developing
Data Engineering,Observability & Monitoring,Proactive Monitoring / Anomaly Detection,Manual reviews of outliers or trends exist but are slow.,2,Developing
Data Engineering,Disaster Recovery & Backup,Backup Coverage,"Backups exist for some systems (e.g., production database); not comprehensive.",2,Developing
Data Engineering,Disaster Recovery & Backup,Frequency & Retention,"Daily or weekly backups for some assets; limited retention (e.g., 7 days).",2,Developing
